Source_id,RA_deg,DEC_deg,S_mJy,Serr_mJy,s_max_arcsec,s_min_arcsec,s_pa_deg,fit_spix
MKTCS J001656.39-313958.1,4.2350,-31.6662,0.316,0.016,8.2,7.7,116,-1.64
MKTCS J001656.45-304902.6,4.2352,-30.8174,0.130,0.024,8.4,7.0,123,
MKTCS J001656.56-310713.0,4.2357,-31.1203,0.108,0.020,10.0,7.9,117,
MKTCS J001657.44-312118.0,4.2394,-31.3550,0.061,0.009,6.3,5.3,123,-2.72
MKTCS J001658.41-313040.4,4.2434,-31.5112,0.089,0.017,9.5,7.3,113,
MKTCS J001700.45-312704.5,4.2519,-31.4513,0.112,0.016,8.2,7.7,70,-1.98
MKTCS J001700.82-314052.5,4.2534,-31.6813,0.206,0.016,8.2,7.3,100,-2.29
MKTCS J001701.66-313409.6,4.2569,-31.5693,0.151,0.015,8.1,7.8,42,-1.83
MKTCS J001701.72-315834.9,4.2572,-31.9764,0.444,0.028,8.3,7.4,99,-1.32
MKTCS J001702.37-311252.2,4.2599,-31.2145,0.083,0.016,8.4,8.0,125,
MKTCS J001702.56-313909.6,4.2607,-31.6527,0.081,0.016,8.6,7.2,45,
MKTCS J001703.20-311046.1,4.2633,-31.1795,0.096,0.017,8.8,7.9,101,
MKTCS J001704.17-313654.2,4.2674,-31.6151,0.090,0.018,9.3,8.2,83,
MKTCS J001708.40-310726.9,4.2850,-31.1242,0.124,0.017,8.7,7.5,74,-2.53
MKTCS J001708.54-311739.4,4.2856,-31.2943,0.086,0.016,8.2,7.8,80,
MKTCS J001708.98-313830.6,4.2874,-31.6418,0.111,0.017,8.4,7.9,84,
MKTCS J001711.34-313423.1,4.2973,-31.5731,0.100,0.016,8.7,7.7,101,
MKTCS J001712.68-312240.0,4.3029,-31.3778,0.098,0.019,8.8,8.7,131,
MKTCS J001715.11-312455.9,4.3130,-31.4156,0.125,0.018,8.9,8.1,117,-1.36
MKTCS J001716.62-312317.6,4.3193,-31.3882,0.093,0.016,9.1,7.1,95,
MKTCS J001719.20-311208.2,4.3300,-31.2023,0.099,0.019,9.7,7.9,108,
MKTCS J001719.91-310600.4,4.3330,-31.1001,0.189,0.017,8.1,7.5,84,-2.51
MKTCS J001720.91-312857.4,4.3371,-31.4826,0.099,0.018,9.5,8.0,161,
MKTCS J001721.05-311353.5,4.3377,-31.2316,0.220,0.016,8.5,7.5,110,-1.45
MKTCS J001723.67-314159.8,4.3486,-31.6999,0.162,0.020,8.6,8.2,135,-1.50
MKTCS J001724.46-313816.0,4.3519,-31.6378,0.210,0.016,8.5,7.1,112,-2.02
MKTCS J001726.42-315914.7,4.3601,-31.9874,0.186,0.030,9.6,6.1,148,
MKTCS J001727.76-310044.9,4.3657,-31.0125,0.179,0.025,8.9,8.3,126,-1.81
MKTCS J001728.79-313352.4,4.3700,-31.5646,0.082,0.015,8.1,7.4,66,
MKTCS J001729.49-315701.5,4.3729,-31.9504,0.205,0.040,9.2,8.8,136,
MKTCS J001731.01-312924.6,4.3792,-31.4902,0.095,0.018,9.7,7.5,109,
MKTCS J001732.99-305154.6,4.3875,-30.8652,1.990,0.029,8.0,7.3,105,-1.26
MKTCS J001734.28-314140.5,4.3928,-31.6946,0.121,0.020,8.6,7.8,123,
MKTCS J001736.95-310932.8,4.4040,-31.1591,0.096,0.019,8.7,8.3,42,
MKTCS J001737.73-305438.7,4.4072,-30.9108,0.256,0.030,8.7,7.5,114,-3.14
MKTCS J001740.25-311512.1,4.4177,-31.2534,0.116,0.020,9.7,8.2,162,
MKTCS J001740.43-311444.6,4.4185,-31.2457,0.096,0.016,8.9,6.9,133,
MKTCS J001741.44-312408.9,4.4227,-31.4025,0.141,0.016,8.5,7.5,100,-2.45
MKTCS J001742.11-312636.3,4.4255,-31.4434,0.155,0.017,8.5,7.8,75,-1.99
MKTCS J001743.82-311525.3,4.4326,-31.2571,0.100,0.015,8.0,7.1,124,-1.75
MKTCS J001743.84-311631.2,4.4327,-31.2753,0.316,0.015,7.9,7.3,97,-1.51
MKTCS J001745.02-312654.9,4.4376,-31.4486,0.148,0.017,8.7,7.9,90,-2.50
MKTCS J001745.15-313239.9,4.4381,-31.5444,0.133,0.017,8.6,7.6,82,-4.11
MKTCS J001746.07-312256.1,4.4420,-31.3823,0.093,0.017,9.0,7.7,170,
MKTCS J001746.57-312852.0,4.4441,-31.4811,0.152,0.017,8.6,7.9,113,-2.29
MKTCS J001746.58-312354.6,4.4441,-31.3985,0.090,0.017,9.8,6.9,118,
MKTCS J001746.96-313912.2,4.4457,-31.6534,0.148,0.020,8.8,7.7,147,-2.85
MKTCS J001748.34-312532.5,4.4514,-31.4257,0.124,0.018,8.7,8.0,54,-1.90
MKTCS J001748.65-312710.5,4.4527,-31.4529,0.090,0.017,8.5,8.0,93,
MKTCS J001753.65-305722.5,4.4736,-30.9563,0.163,0.031,8.8,8.1,13,
MKTCS J001754.60-311506.9,4.4775,-31.2519,0.086,0.017,8.7,7.2,91,
MKTCS J001755.22-311713.1,4.4801,-31.2870,0.151,0.016,8.2,7.7,87,-2.07
MKTCS J001756.14-311751.0,4.4839,-31.2975,0.158,0.015,7.7,7.6,129,-2.13
MKTCS J001759.04-314527.4,4.4960,-31.7576,0.864,0.024,8.4,7.4,103,-1.40
MKTCS J001759.43-311624.9,4.4976,-31.2736,0.513,0.016,8.1,7.2,97,-1.58
MKTCS J001800.39-311738.3,4.5017,-31.2940,0.116,0.018,8.8,7.6,118,
MKTCS J001802.45-311944.0,4.5102,-31.3289,0.166,0.016,8.1,7.3,92,-2.28
MKTCS J001803.47-313504.8,4.5145,-31.5847,2.179,0.021,8.5,8.0,130,-1.06
MKTCS J001803.54-313454.5,4.5148,-31.5818,3.538,0.020,8.2,8.0,121,-1.13
MKTCS J001803.80-310518.8,4.5159,-31.0886,0.158,0.023,9.0,7.6,92,-1.80
MKTCS J001809.56-312214.5,4.5399,-31.3707,0.153,0.018,8.2,7.7,121,-2.53
MKTCS J001813.34-315856.1,4.5556,-31.9823,0.469,0.043,9.7,8.6,67,-3.50
MKTCS J001813.68-315215.1,4.5570,-31.8709,0.215,0.035,8.7,8.2,86,
MKTCS J001814.22-313016.2,4.5593,-31.5045,0.473,0.019,8.3,7.5,90,-1.45
MKTCS J001814.77-311328.7,4.5616,-31.2247,0.712,0.021,9.0,7.5,121,-1.29
MKTCS J001815.30-312510.3,4.5638,-31.4195,0.166,0.021,9.3,7.9,107,-2.66
MKTCS J001816.92-311046.8,4.5705,-31.1797,0.165,0.021,8.6,7.5,63,-2.27
MKTCS J001816.97-310818.1,4.5707,-31.1384,0.174,0.022,8.6,7.5,112,-2.13
MKTCS J001819.94-305049.3,4.5831,-30.8470,0.222,0.038,8.9,7.9,74,
MKTCS J001820.14-314021.9,4.5839,-31.6728,0.227,0.027,8.9,8.5,105,-2.67
MKTCS J001823.11-312337.2,4.5963,-31.3937,0.208,0.020,8.8,7.4,108,-2.31
MKTCS J001824.78-310053.5,4.6033,-31.0149,0.275,0.029,8.8,7.8,121,-1.74
MKTCS J001825.27-311911.4,4.6053,-31.3199,0.157,0.023,8.8,8.5,106,-2.28
MKTCS J001826.44-311839.7,4.6102,-31.3110,0.226,0.021,8.6,7.8,88,-2.72
MKTCS J001830.47-313412.3,4.6270,-31.5701,0.328,0.023,8.5,7.4,109,-1.92
MKTCS J001835.07-312704.9,4.6461,-31.4514,0.242,0.023,8.6,7.9,92,-1.80
MKTCS J001836.55-310421.8,4.6523,-31.0727,0.129,0.025,8.5,7.3,72,
MKTCS J001840.12-310056.9,4.6672,-31.0158,0.288,0.031,9.0,7.8,107,-2.05
MKTCS J001840.53-313424.0,4.6689,-31.5733,0.188,0.025,8.7,7.8,103,-3.07
MKTCS J001840.70-315703.1,4.6696,-31.9509,0.261,0.042,9.5,7.8,116,
MKTCS J001841.58-312536.1,4.6733,-31.4267,0.106,0.021,8.1,7.4,59,
MKTCS J001842.32-310852.3,4.6764,-31.1479,0.159,0.023,8.7,7.0,107,
MKTCS J001842.52-311511.6,4.6772,-31.2532,0.609,0.023,8.5,7.5,110,-1.42
MKTCS J001844.42-314951.8,4.6851,-31.8311,0.292,0.040,9.8,8.5,60,
MKTCS J001844.47-314808.3,4.6853,-31.8023,0.322,0.041,9.9,9.0,96,-2.83
MKTCS J001844.99-315754.8,4.6875,-31.9652,0.521,0.040,9.1,7.6,126,-1.33
MKTCS J001847.48-304900.1,4.6978,-30.8167,1.398,0.038,8.6,7.6,99,-1.30
MKTCS J001850.12-315751.9,4.7089,-31.9644,0.490,0.042,9.1,7.8,142,-2.54
MKTCS J001850.54-310658.5,4.7106,-31.1163,0.253,0.028,9.3,7.8,116,-1.72
MKTCS J001854.89-312632.6,4.7287,-31.4424,0.399,0.024,8.3,7.9,96,-1.48
MKTCS J001855.33-305828.3,4.7305,-30.9745,0.333,0.036,9.3,8.1,93,-2.07
MKTCS J001856.04-310249.2,4.7335,-31.0470,0.342,0.031,9.4,7.7,91,-2.28
MKTCS J001858.85-312945.8,4.7452,-31.4961,0.572,0.023,8.1,7.5,124,-1.57
MKTCS J001902.52-313620.0,4.7605,-31.6056,0.452,0.026,8.6,7.9,126,-1.37
